Compound	toxicity	score	n_refs	pubmed_ids
Acetaminophen	immunotoxicity	0.79	8	16581533,11789665,21677784,17942131,24603311,22285215,34526248,29594315
Acetaminophen	genotoxicity	0.87	72	27392336,26551927,20011461,8201952,19690995,34296251,17454029,19887514,19298702,31108565,35077737,24407556,6387477,26302058,24949552,33388367,33933547,19680455,15962942,7680103,21971971,2336069,2485128,1373861,15486947,19426796,1782344,22084566,29402925,17979661,7786168,20090835,20007298,25058030,33592196,19446244,21994402,2811932,8209320,3343983,25105920,9757008,3923657,31310901,25242409,19043273,34843691,15526585,3713718,6436833,3531298,11376689,22226454,15120964,6815479,8861779,28772250,1282210,27931808,15035644,16468500,7715617,28545014,7870087,22272032,34202329,8600357,22319569,8645503,1553758,27402199,31983015
Acetaminophen	nephrotoxicity	3.30	303	4199399,21170252,30392171,1620020,20170747,1687856,25432491,7452663,34859872,8105522,15673306,26234406,8560470,20456332,19882796,2356566,33157119,18278066,35316804,9085330,34296251,9195520,17642144,2846674,17456244,3536692,15195226,25030567,36642790,17567590,8209379,19523510,12832150,6868091,8937897,27122240,35918879,31108565,851123,16359826,21219961,30099449,7748197,11276828,35065586,2741180,22242722,6636173,15732444,22563510,8812206,22423898,32856245,22841070,1085402,21515333,3895670,20067817,21170247,7871539,11545233,7113725,21848492,23560513,21715262,24958513,31023049,25447604,8876940,30039481,27050864,9206904,19644613,25339313,31599006,15629191,27397436,30604234,3945963,8669426,4035671,19492485,5027599,15546480,31310697,28828381,9713578,17610529,22103691,29199592,1440617,16354249,9834974,14592552,17610925,31124443,15629190,12587719,9085072,4051876,20540644,15910414,24350947,2565202,20333776,12783761,16970005,21263015,3598908,6335023,29402925,9381478,8100504,10516997,24193058,3139868,6795341,28932931,19345714,29938546,21115557,31277724,2339668,11772146,6604212,19341447,311157,31735377,31256398,30669860,21677784,26096646,31812988,29120676,18554830,18650254,2925021,9455676,17608633,5371434,31818353,6114834,2964008,16532256,20542992,26767949,7979097,30551486,4082192,35020164,17391827,18834914,10454517,9742268,26272683,32672047,30879230,22557431,15119956,1906180,3717123,15219085,28393561,4381370,21753897,16060123,1687859,11334364,3923657,3796197,30794797,24682227,3559797,36227364,18472996,35379573,35661049,21904651,3827589,22468732,20442816,7736927,16354242,14747384,9740150,19043273,20130772,31809787,31246346,9314055,19800206,7318260,28988613,31310901,1676404,2027607,3753100,9034424,12472978,22649331,8669433,16806140,26124809,24280655,8989019,25041517,36788192,17585863,8473360,33045213,17624227,11589252,8175135,18068886,7328601,32061126,845262,1745559,7090424,20623750,6827393,7151343,18047802,35489079,19815612,3071304,6868092,20352459,30933551,32348741,1949909,18338302,17722712,35243748,11215692,26956915,29803978,21609276,15767831,25478691,22093918,8871091,1203171,9455675,21783944,21430929,19117117,3432938,20863222,7428194,16271624,1987650,17126469,11026606,6410080,2734801,22577546,31479670,6344630,25019700,33594164,12852704,10570112,9454804,8930156,35595037,7155631,20446790,26988152,10839317,32963203,33387578,7179289,12823615,21783952,383123,9858252,3206528,30312166,1605724,11115060,22069672,6776978,660552,23863315,8669427,28219698,6848614,27888128,8794998,19182431,34063126,9796356,10764627,31446806,23624663,20367443,9413921,22374609,713267,32013615,16741785,36495522
Acetaminophen	cardiotoxicity	0.83	31	29350208,17122535,33120276,24201980,8446552,26627004,31713183,11276828,14710203,20950441,8234119,30594530,15122133,17870553,12587719,20606837,31191865,11334364,2139234,9067481,18542937,27411502,16040888,17078595,19706166,21847410,33594164,12811715,15178484,23558518,15958107
Imidazole	nephrotoxicity	-1.52	3	2422431,17939858,22505981
Imidazole	neurotoxicity	0.88	19	20363141,17532582,24523636,10455281,29106759,32572830,16097795,17784787,22332002,15668252,22558227,18973685,11178934,19060956,12212793,20406246,19338344,18996889,22126626
Imidazole	hepatotoxicity	1.33	3	20392079,14610220,20130764
Imidazole	cardiotoxicity	0.02	4	27657807,21437146,26307959,12113224
Imidazole	genotoxicity	-0.08	14	18950734,26571387,29715291,19834545,22415824,19464038,20071424,20936170,21200426,19582216,12636089,19293795,20878393,16489577
Amitriptyline_hydrochloride	genotoxicity	-0.65	8	11857018,15507199,15962942,12091779,11043841,3191917,1902910,22251041
Amitriptyline_hydrochloride	cardiotoxicity	4.26	105	10688618,6452802,3361443,10991922,25724422,636774,18845675,2342604,517079,2241410,24052561,4421467,3740572,29943290,25867296,31273393,25951877,5558774,18790837,1186320,3193487,4536600,6969529,7318761,14758040,1757397,3368804,18347505,29239964,4116633,5354541,321205,2929129,1586424,3256820,18608257,32447341,16040888,4115738,4668629,1703589,1460591,15614810,7793722,2530780,29762225,24055824,32219715,505986,6162597,28785811,7893190,15641640,1651817,11869831,4116169,4028383,23530458,20923818,5744325,33438398,4117629,30856002,7131618,870126,16430415,36527252,29517570,623701,22653689,3963932,2738485,3831377,29873021,3454160,8930008,6259320,17359955,360245,359311,10406926,2939838,3418777,2978366,4919411,4115844,5426834,22619399,6620442,4444361,3017159,4423835,4074108,26621115,7097563,25939777,31187186,6154560,17367544,16406254,12234126,17019174,19706166,20507243,11843209
Amitriptyline_hydrochloride	immunotoxicity	-0.28	1	28263824
Amitriptyline_hydrochloride	hepatotoxicity	1.56	15	23956101,2756528,8451546,22931300,21274758,3420952,20829430,18359012,6736277,20553011,22331495,23397584,27765674,15106034,20843939
Amitriptyline_hydrochloride	neurotoxicity	1.76	40	17437653,10945841,24531792,1561,19815060,16732099,9515979,2833464,11205078,16430415,30945158,15618817,1905132,26242194,14718801,15166572,16701969,12170057,16496498,33403401,16032586,33156513,30600474,22341215,15510180,16978678,19662987,12818949,16717317,21826185,34583507,21270943,22203844,20815926,20211194,19877499,17761732,22323956,16301270,11307856
Amitriptyline_hydrochloride	nephrotoxicity	-3.30	1	12637076
Amitriptyline_hydrochloride	hematotoxicity	1.95	1	2527890
Clarithromycin	nephrotoxicity	0.02	11	1355971,17319962,10500563,8504017,26692327,22166485,11735605,34129542,18591267,9193849,1684982
Clarithromycin	cardiotoxicity	1.05	12	21437146,12904146,22166485,21038838,14715050,24052561,26068526,9951426,9326871,25976224,12235254,32559772
Clarithromycin	hematotoxicity	1.53	1	12400876
Clarithromycin	ototoxicity	2.82	10	12810998,30032669,32171422,8504017,21838098,9935275,17319962,11535141,9626603,12357877
Clarithromycin	hepatotoxicity	4.60	26	20361094,7795060,16525107,22804484,12043957,12066973,21586591,11221566,8504017,21679791,32454074,12602373,23956101,8889721,19661243,19362101,9935275,17605513,31644280,16720710,20553011,15805066,20843939,22931300,19775168,19909895
Clarithromycin	neurotoxicity	-0.16	11	23569151,21269833,34458952,12720151,11735605,24853570,25298587,23662315,12685831,1561,22855656
Clarithromycin	genotoxicity	-1.46	5	12235919,22084712,15962942,22249086,15993685
Verapamil_hydrochloride	genotoxicity	-1.25	13	17380300,9057100,16826409,16099703,9815817,28324828,20579678,9434626,7715613,20488853,17644234,12353056,22272032
Verapamil_hydrochloride	ototoxicity	-1.37	1	12124659
Verapamil_hydrochloride	hematotoxicity	0.66	1	2041381
Verapamil_hydrochloride	immunotoxicity	0.14	4	25542143,8433400,17092623,20633635
Verapamil_hydrochloride	neurotoxicity	1.39	72	21563913,12865967,32275773,4016789,11926279,32640352,11604245,12955309,9587789,1724654,25038562,10681070,21434880,18714154,28315791,3338983,7499103,10928985,10708116,1972034,24325902,17151911,3793965,18353611,27191126,1314962,2870222,9388008,15896866,8885283,8208439,10084680,3371379,20950631,31691145,15303126,2041381,1656845,22659089,1932412,3085769,21654882,31348918,19337503,22619690,16125343,18728731,16497458,19270793,22652317,20122949,29729985,20211194,16322070,21850191,20552314,21562604,21761272,18683240,12831785,12135109,16150439,20816785,24592867,11735605,35550413,30529634,17703881,18981568,17504224,21783791,19815060
Verapamil_hydrochloride	hepatotoxicity	1.50	42	25849576,9865476,11870366,16930294,12523961,20843939,29355304,30526075,8905240,16490160,28509400,8532609,8261063,8773183,3889076,9138276,20553011,10644272,7212507,8048248,20402332,25224352,9517278,21569786,1460941,2106547,28552422,22331495,20829430,31348918,27484514,20872616,25656088,23956101,25455453,21822469,3947399,9187257,28797771,19332084,32949963,12739759
Verapamil_hydrochloride	cardiotoxicity	3.94	118	19706166,15920678,10699357,22220227,6640427,2463714,741,3559654,10326630,9693756,10844108,4403294,22921427,8648372,19462923,29274391,3193487,27012816,12213994,20122949,32519553,31988308,22701146,20691599,18346055,21258839,2182448,2253744,17267527,8353104,31535848,1481442,7187774,9626462,3420140,22615365,31846891,20112819,22338033,34825519,26226503,23307606,26553277,8246150,1854657,16529545,12569305,24052561,27191126,3578966,9184818,29069937,2041381,21756913,11758760,14976858,8402643,22130107,3756991,23724791,2342132,21362439,3664935,11709193,21833176,12897809,7636536,11724091,7971744,20552063,30429978,28717111,3468898,23589316,26878482,6856096,21634011,17557149,22027094,7131618,23178276,3670797,16220797,6489194,8267811,17766009,1128824,18798483,12642473,2772843,1988684,22615792,19845549,2206948,19524606,2865830,23519760,7913658,1433347,2278719,23708811,19596060,19825411,36070668,19918574,4042115,19307737,12687290,17727798,35781252,17367544,2633156,32640352,10613599,9539608,21263316,26259608,30562027
Verapamil_hydrochloride	nephrotoxicity	1.76	80	1778857,9650641,9175807,22069563,1625195,1318988,1837122,15056263,2350906,2014541,7948788,1436295,7511434,2652487,29767558,21991918,10708116,7899577,1459833,2039019,2038571,12419699,10642944,8711361,3499878,10554102,2950608,8904025,22069643,1501413,8430681,8398812,7940915,7905791,9853004,28509400,3677015,3655010,7800215,9737822,14551352,21340123,2607314,11735605,1990550,2416501,2333417,2678635,2532251,26287374,9410167,21738526,8442906,7751432,16837925,24220874,11770808,14621733,3344549,7697487,3306096,2202113,2624484,21599835,2539665,31772214,2301025,8292568,2339412,23428833,7727868,18498270,22263104,3576678,12676495,20130772,1360799,8660137,1294973,28986290
Picoxystrobin	genotoxicity	5.49	2	34642769,29653384
Picoxystrobin	neurotoxicity	4.66	1	33512557
Picoxystrobin	immunotoxicity	7.58	1	29859490
Methotrexate_hydrate(1:x)	cardiotoxicity	1.91	96	8436213,1711934,28324265,9740078,34953450,10853413,9229320,4051516,21218604,32104151,30452777,7028245,8085846,19013659,34661261,1899489,1705095,35732790,27464663,28468529,12796019,10815287,3164312,10774566,7527732,26398490,36443884,20347613,7777242,28561655,7093971,1413973,16361558,8471659,3660150,19932589,3534581,19169606,2910506,2039705,10512173,2291454,16891866,4521474,16148021,11118462,11181656,30796194,8229152,10477008,7534457,7414712,92740,6354509,6230422,23683251,2170140,21867621,2327660,11205227,19103732,6981452,3840300,18664656,6546298,8600333,6761595,11229215,8422597,3902267,8242546,21277101,9778619,17525906,6696406,31464920,2387544,7579436,6754062,6548066,8905032,7357493,9070503,22909389,26321502,10732745,32867464,31282794,11694788,28353359,2408771,2292204,31035240,20529245,22166485,33992926
Methotrexate_hydrate(1:x)	nephrotoxicity	2.92	366	23959450,32629599,34655350,19135939,27377006,26365289,440204,31120351,28987366,18551038,6760471,12655445,10323057,29050116,10879106,3343727,6380837,28467981,2982705,6350313,7041363,35451162,1599808,33661366,32558929,9277811,26163452,19145077,32316877,30205081,23143813,3193470,18055849,31020375,24859553,3182328,7040930,12161935,2656600,33677616,1838278,8927965,3431592,12017378,22139200,23698198,36913116,33858651,10516680,32431230,16326413,2431655,8625136,22313647,29218692,15864128,32731844,7655145,35338352,3163362,3925784,20347613,30554834,15073863,27543094,33845614,8832608,31169759,29445029,28050892,8926955,26981953,34235555,31889141,17613868,26320496,9783949,31289794,34536756,28168347,10963643,7250179,26845207,34160987,6965819,19110454,9164227,18924527,22013722,7540071,3925523,3626435,7037062,33836263,19617010,35818184,15379778,25912852,10609804,22105588,3095503,398013,32170389,23683251,32083987,6974039,31156052,26248472,25080921,29604595,10918426,18045317,16132728,29667662,29990838,2579724,22484323,22914891,17896079,35486323,6607770,7366124,20679598,8260573,22162575,6175410,20009434,11881788,20589739,31039415,45558,6352004,10468296,29710508,31848681,22069672,2845769,20922699,29768710,1589134,28937522,7184375,5763245,12376811,12894135,3863971,31586225,8739323,6340275,20155268,6764099,6762711,36193736,16460601,383286,16240905,8518222,2578770,32778025,32544340,34319023,3373269,25957427,27496039,35575146,17898655,9817286,28983943,1707350,25631103,2416423,9179666,19131789,16350832,6342655,11532100,8625244,8896434,26338102,8371203,7200263,8788599,10213209,26268515,1826720,26726849,35156868,26332135,657149,25323539,8110873,34953450,32816079,24004183,9761357,1514213,24255083,10188622,1613880,7741070,9924362,18282,2546688,23187460,27213989,25174822,22919026,7872721,36315029,6232549,25359701,33764242,312692,6228218,22145268,36361584,23307329,33608849,18238787,29725494,11886013,6609105,9209738,1248006,2402791,18511375,18387272,9787325,10194544,8298565,2273459,33191243,9891907,35120432,18266225,32589351,3359561,24036158,7071559,8233299,27499091,31246346,29608980,16924955,6349983,3152909,9026889,27781293,33118377,24394493,25707519,11344715,32801284,33069634,33725693,2877729,27966809,6439029,11763664,1394823,19996279,1394825,31684190,30396091,8306417,2196107,32605405,18719070,15110133,29216766,3913771,8496883,29079637,27542957,17172062,35143824,22952196,28422374,31403755,26981789,28394433,15139068,28703643,8204441,12692801,24363042,29224791,4885683,7906982,34250612,29240024,31187885,8886909,3633578,17519458,16794248,8221714,27132812,3427224,32506594,7581086,24039194,3570052,23170306,12662351,1913620,35034880,30369593,29845950,26178442,27524686,30142545,26281313,6153149,3890292,23274445,8697606,23099004,3589522,6332576,3383986,33427019,32925658,22252903,36764694,9638991,29606256,23275643,31965273,16246977,19925307,33460792,29120974,27335061,34661261,21146122,12381213,7534457,36951972,2689182,24521009,17136402,21945870,19833686,33465564,3510278,21119035,12874640,1393439,31454862,8630924,3332119,29871962,35236714,15301246,2345995,33743109,26152702,18523995,36405556,10617679,15642906,25935232,19956493,4740737,22166485
Methotrexate_hydrate(1:x)	genotoxicity	-0.39	47	8524344,36368333,29069929,33631341,2198387,18678279,9485540,8841488,11383050,19900424,22702814,28428088,15739158,6419092,3375744,23142536,15971258,12051400,14980204,31702497,21787679,32651820,8837685,24704904,20191493,15605355,10470854,23200019,2161803,22064329,33755191,7564509,27003173,26294316,19110071,18721840,8700174,36198210,10918608,20488216,24375635,25672799,27829510,12167490,21624110,17374387,29777724
Methotrexate_hydrate(1:x)	hepatotoxicity	4.03	453	33608849,1937394,21841039,32207921,3195601,6290020,20346888,32170389,30304722,18502557,34505929,4028418,28341765,6183878,21945870,28334048,28422374,36462340,28864376,19175782,2277127,26617896,28298149,28758587,33422513,36361110,33501733,34319023,36946320,36259502,27160211,33957170,16154329,24280876,8482320,6201520,25086301,20566424,25066676,34521259,19922765,24333217,3950115,15060506,12120905,25488045,17481633,3967557,3449308,35114374,19648163,31244428,32544340,22143415,34258700,36259229,23956101,22781392,31520175,22441788,34729716,7108346,1921807,36070248,30587924,31035240,23698198,19578136,29319136,19147616,34911876,9193771,5501902,20829430,15120968,35169948,10068272,24085192,4783020,34661261,20579471,5394437,29871962,30024839,29091871,26276309,845977,17071051,28763751,30583708,28050892,17711423,8731673,455278,29672189,19031955,19377402,29753054,6208089,28168347,31786878,1433018,7639808,14644871,26421385,17989857,36708065,34802285,28414158,16343024,25139707,3041245,1545730,17163236,8003056,6937637,33052426,9713483,5015292,27383404,33057777,2591003,23880702,8667468,25347948,34403717,32458964,18551038,8434456,15379778,1361285,27402434,32246423,18755362,26901183,31986916,16866998,21044425,16026011,2402791,32546960,17711866,34788387,33164656,1390139,34255596,26647798,30777719,35093905,24274872,27311186,32164493,28592186,8972245,19579026,15274661,28696419,20347479,12365478,12894135,29209924,34870735,11380039,5685733,20553011,19052832,33069634,2508403,31542963,33736448,18203324,1599808,1877853,16198787,33836263,8280401,21378570,28866420,870655,34235555,16369235,27524686,35306043,31070230,26199067,22074251,23152274,1784922,24752500,29095107,11059096,33992926,15110133,29339102,31354242,23683251,28402205,8593119,26021686,8358980,3193470,22882190,18381794,25599563,8971280,34632892,23575072,21198946,20160715,22931300,3741499,32486047,35501736,24278124,28675023,28898908,34225639,9361160,33975996,8943101,26292180,9589197,15787807,19292064,23099004,36182732,25560583,33349067,25997870,32448869,9880448,296787,6600827,3703871,19033291,1673721,3629206,2774596,10796540,2427090,33709166,8926955,21584420,8260573,32804842,27496039,33769558,27269004,23424212,6348949,319725,10544851,26332135,3735458,24231097,2153091,33308133,32794599,16519378,33465564,25074866,7184375,16652418,22131085,3819074,33845614,21755815,36130729,1782110,3002916,25912852,25923946,31675349,29661087,30814484,30693382,34736875,30594247,11702302,19265355,21388453,31586225,26178442,2388211,33982476,14986274,25879356,23161567,34051216,35239784,32113793,17934844,31889292,35120432,22535279,12415606,25809628,33714108,12554521,16005536,8229232,27311183,4759241,12429535,2585411,424824,32629599,24964792,18273721,25110444,29587597,30187188,31408659,33414115,31736017,31220735,33602481,2948435,33025831,29574210,18609744,30106792,22652833,7967431,35654820,24376133,24154663,26916498,23648444,31120351,36469234,9263133,22331495,2251813,28060115,20029470,17180579,34953450,19889479,26614486,31792368,8036521,33725693,2425934,29990853,11851839,32344632,11095334,24334575,25323539,2804982,16865059,12662351,27721549,19051353,28068634,24635802,1586725,34726639,7369769,29604595,34254644,36781607,19394316,30729592,23278617,29252093,28535545,30625516,23252949,16395677,31309547,31362085,18622418,23415907,29546055,30031796,32865051,17091912,21751301,21860151,22847291,34042041,2210682,31105018,25971792,10509163,5022031,28414177,7962779,24429167,8927965,29975207,1398282,32103295,12375317,34175381,2032296,12695153,20843939,3581546,35092376,8287508,18277899,34939704,29569486,31889141,11641084,27163515,3704718,3913773,1529162,9891907,5548272,2337515,25144777,3332119,1746537,36702175,19858119,32778025,25145655,36293191,23187460,34115231,9036721,10323057,22174205,28479099,1775433,25042398,25185870,24090503,1536809,34461001,22313647,3481038,2445154,9416861,33607181,27783703,27781293,24552501,36499436,2080488,25080921,36564450,2292232,16151547,23197226,12510362,21693118,20714691
Methotrexate_hydrate(1:x)	neurotoxicity	4.59	468	20595368,34759146,1734087,1448429,23099805,17315504,12057111,30418592,3179924,10326219,6582805,2983855,12164690,26365289,21785849,2468411,2735964,15571954,15735126,8735346,1793349,20652214,17729157,2580064,2257929,579164,12488408,30698835,8577190,30703509,33567813,6280320,11992760,14561622,16369780,24745349,3493728,2004323,25564269,19302946,14624075,3258630,3458998,27132696,1389541,14510951,25360802,24157308,34235555,35628334,7776773,14872029,25546348,1905441,376128,9553671,15019092,23049924,2785366,19812948,11380234,17522329,2578602,2768785,2402791,21868233,15289838,18191947,24035689,34801161,19307676,15794179,32170867,18835334,23903866,33152700,33274777,27399166,26584335,36070751,577895,19738521,36241238,25831806,28809129,2131034,18618509,35849191,346194,396797,337916,28468529,15167354,15162903,36318866,30452777,33947777,17855192,946593,1498061,18722663,31601292,28165611,28094079,6814249,33491961,16132495,33632938,17301290,1329697,30537919,22228634,15824344,22354719,22143415,17270361,1463588,15545943,31319728,32710710,32813610,2751317,9846341,18782177,15125607,21210832,11953532,31353570,19593137,25364248,2763801,22673947,6147640,2001559,10199460,1985164,28289862,9122123,12078863,3789673,29218692,28455583,32133872,3940623,21649446,35725885,6752689,34201550,26346136,24722885,29146215,32878553,638249,17185743,17124077,32330099,14615443,9256122,25568347,24947495,7532157,19041267,21064136,8625244,35253362,18612759,1827295,34904506,16013960,2552194,35873801,3841220,17947226,19068252,2828071,12707070,19736586,9057179,27934621,27113788,16325979,23934511,6584197,29424258,16167525,5299295,9440749,11772332,9035605,14765387,8165051,25637187,17896079,1583854,16198065,25451676,17594344,22115927,12489505,29990472,582316,11241435,14597744,1606401,15042678,6611387,11070476,1312886,31629723,27773447,15642906,12942571,15929034,33725693,29200113,16175317,4599221,17170721,35354251,21848066,16718360,3469009,16193393,29229230,1381940,9681077,12702522,18831032,33034509,10797527,3047654,11019787,32496457,25814514,6949139,26688235,10881004,17591569,17768625,9740078,20967518,15007149,3418727,2014309,833633,2346334,10233644,19050889,7908599,19594068,22734565,14966832,28130818,2200610,16394890,31385765,35639227,4458721,20523985,16962142,34670884,33191243,12091059,30182170,2585028,35200225,17907593,26507609,840159,14991361,2170754,10963643,19061137,27659182,3465314,21663504,26681571,21459079,34432168,22842379,10653867,23786802,15933817,30672361,14981169,20121554,33465564,6236675,17492932,19340855,36198540,28070609,31020375,9126309,6971702,31120351,2223186,36273167,28655493,31667903,33242855,3833337,36598958,33866741,24488444,1541977,30300241,16166815,17577775,10327035,2728081,8896434,15627024,2304423,284172,17511273,31295228,15569732,21243392,20970380,2653080,821606,9403207,26013534,12814260,2480922,12714818,1961135,8615598,31586225,12860951,2119878,27874212,28353359,9508167,23685932,19821069,36279879,7779724,11929036,36692972,7537364,24101038,396791,16615061,17947720,10072006,12490131,34569761,596922,15019310,11979570,24068485,8874342,34986414,20651019,28376072,21906768,9667255,1382234,19110454,25459253,16216315,16091514,18953065,1060745,11275465,28338384,17658395,15749798,16270111,15863997,8614508,33073670,19006245,26583357,14631624,29315793,29633112,8800732,11244328,11978942,10715299,14515401,8156541,1556049,9586883,7184375,34889354,29999484,29328996,25755211,36354704,2208105,31876782,15747120,8656680,17971588,1613540,18612932,24931518,1721086,21449677,24987945,17209054,6199470,4859597,19031955,34331673,6385604,15753437,6807542,16891866,4517004,17008697,30502384,34524547,20347613,18337442,15901003,24550419,24345882,1705861,2242171,19328212,3152952,29222306,11344503,18924160,29492682,30543581,16562778,7910141,2066764,7874568,8697399,21699468,9738568,1324459,1569453,36614208,10434724,15153718,32362603,12915598,8636767,22013168,30206159,7943613,31929386,33762182,32522593,8689347,18772215,27668914,7871226,7011005,11354696,20670084,21968551,19499584,16411025,32420657,11800653,24742799,2980515,21737571,23612378
Methotrexate_hydrate(1:x)	immunotoxicity	-0.86	4	30343151,24569711,32962811,29594315
Methotrexate_hydrate(1:x)	hematotoxicity	2.55	9	2985415,33858651,17896079,23959450,1549628,8555471,29311456,14682132,12401904
Methotrexate_hydrate(1:x)	ototoxicity	1.51	18	17898655,17267204,1413973,8625244,35353852,30452777,1826720,2208024,22705360,28802357,30796194,28353359,7747710,11123055,29445029,2206855,9532413,7594371
Diphenylamine	nephrotoxicity	1.68	5	21487531,8655099,22423898,18227911,2353418
Diphenylamine	hepatotoxicity	2.46	5	3766854,20361094,9765339,34107285,34748821
Diphenylamine	neurotoxicity	0.76	3	21516509,21189316,20215549
Diphenylamine	genotoxicity	0.59	3	22609852,2419751,6309593
N,N-Dimethylformamide	cardiotoxicity	0.04	2	20349025,4279613
N,N-Dimethylformamide	nephrotoxicity	-1.28	2	23077790,19663403
N,N-Dimethylformamide	genotoxicity	1.07	13	21967861,15206904,22131634,25403281,26802124,8841488,20106946,9654238,10463395,36240642,15198717,16830059,19154577
N,N-Dimethylformamide	ototoxicity	0.66	1	21552569
N,N-Dimethylformamide	immunotoxicity	0.46	1	9388883
N,N-Dimethylformamide	neurotoxicity	-0.46	4	22606332,15198717,22355408,20046791
N,N-Dimethylformamide	hepatotoxicity	4.02	46	8863052,9819509,9878585,20849330,6623507,6752494,31501917,22953193,20553011,26387567,8984823,29984871,7336434,30576622,17254560,8782091,28505332,7354621,20097184,3445748,8085939,1539172,31875996,32827966,8776955,35551047,26087515,32648274,11684362,7717872,34153373,15772367,3806387,3824392,20804825,12205738,2322987,19755767,34648028,2057761,19358737,3732212,7139607,8818869,2379779,8020865
Ethanol	hematotoxicity	0.46	12	2730682,8825679,22580533,20137700,30567741,6729827,7296046,17980571,22279373,15226677,21635189,21346803
Ethanol	ototoxicity	-0.90	19	22512755,22822547,10978834,23482479,31088301,16969346,21844995,22261612,21151649,19723345,12698184,7315253,10983954,18629305,23899702,21833797,21716954,17666265,951390
