Compound	toxicity	score	n_refs	pubmed_ids
Colchicine	cardiotoxicity	4.08	15	23131582,8207152,8201091,15311853,11043640,18608282,2694138,32268262,27727039,35126817,31960749,29334816,16863435,27186705,20624997
Colchicine	ototoxicity	-1.23	1	21296430
Colchicine	neurotoxicity	1.51	58	6478274,15244167,12128012,15005753,24591648,11689470,16478524,2525778,34748853,7170018,6174906,19815060,22248034,1828783,10852241,7990508,29962396,24662962,7823331,15914514,32931884,12127083,14976124,6661030,36541944,3035372,6249441,2771058,15711925,20661070,32949729,2284057,16793884,6132379,9413254,3964122,2720425,7869427,18255150,4024120,2542478,19492485,33617922,7940890,17716651,6747639,11196193,18608282,6884477,17652827,6930683,9491303,6738304,23198691,6710527,7820609,35134991,12941380
Colchicine	hepatotoxicity	1.31	26	25379734,7525200,20843939,22331495,26881866,12700423,12691730,26727645,31332882,7782558,23146695,21382654,8887439,1764117,9184194,9721260,20829430,8841760,15311853,8215908,9230445,18468992,23956101,22931300,20553011,24694983
Colchicine	immunotoxicity	0.15	3	29594315,24738739,24603311
Colchicine	genotoxicity	1.13	50	20338262,1378462,16765631,16019038,8231819,11440474,20420207,14980204,2922013,18406658,25743750,3083247,25344161,16797225,11191113,28018917,12385720,17680492,23726961,24738739,11448642,20390845,16758965,9568594,12395406,29733868,22561174,17045307,10838205,7968577,17284774,31138409,35869703,24211769,9268047,22982763,18498264,22081495,20478394,31561895,27769486,17456508,20226265,15828776,25868127,15540193,20159942,20438860,3367927,16782396
Pregnenolone	genotoxicity	-0.96	4	19680455,26739637,21623958,1281274
Pregnenolone	nephrotoxicity	-2.62	1	24692689
Pregnenolone	hepatotoxicity	1.24	6	15456926,22982774,30296546,11097384,16864508,16354159
Pregnenolone	neurotoxicity	1.29	17	9593594,16474421,11513329,22386322,17651807,11358277,16099910,22357341,21623958,36030852,18728806,11599298,24333475,12437582,15932592,15943860,11131176
17alpha-Ethinylestradiol	cardiotoxicity	-3.05	1	25594700
17alpha-Ethinylestradiol	genotoxicity	0.97	30	12694747,17631965,9344463,22084566,16818251,25058030,2027340,11518613,11695563,19540004,6383273,14746341,29649501,15698584,8844995,8917663,20011461,1449530,20176089,31706722,21147608,18087587,10820425,17702343,17904659,11358677,18634860,2271712,33148062,33442804
17alpha-Ethinylestradiol	nephrotoxicity	-2.00	3	15285374,7466856,16818251
17alpha-Ethinylestradiol	immunotoxicity	2.61	11	36113621,16818251,29427786,32563011,30390549,29475659,18602456,30125706,30099325,18087587,33542403
17alpha-Ethinylestradiol	hepatotoxicity	2.40	37	2877750,20843939,21147608,30983430,25064622,22795685,26717202,411942,21976823,8508512,22931300,6625765,675718,36329302,16926038,17108234,24440342,20829430,24989642,20549615,27344345,17420222,18672579,27765674,20553011,26881866,22271975,24383869,22331495,841578,25051504,1190830,28778767,6133380,27381300,16606610,23956101
17alpha-Ethinylestradiol	neurotoxicity	-1.19	6	27999363,34818814,34699762,20164145,28185727,19815060
N,N'-Methylenebisacrylamide	neurotoxicity	3.18	5	8492122,7823331,3441322,9928675,7589932
N,N'-Methylenebisacrylamide	genotoxicity	0.69	1	1915313
Haloxyfop	immunotoxicity	6.90	1	36462742
Haloxyfop	neurotoxicity	4.98	2	36462742,32289526
2,5-Diaminotoluene_sulfate	genotoxicity	5.01	2	8685904,24275315
Ethanamine,_2-bromo-,_hydrobromide_(1:1)	genotoxicity	2.43	1	9331411
Ethanamine,_2-bromo-,_hydrobromide_(1:1)	hepatotoxicity	5.64	2	20843939,20553011
Ethanamine,_2-bromo-,_hydrobromide_(1:1)	nephrotoxicity	6.24	11	1489674,8773180,2918855,3653576,15805072,1435756,6876565,8605287,2206987,23142791,2219163
Naproxen	nephrotoxicity	1.85	26	3975749,2281122,15198071,16335308,3812531,3358393,8540707,12774222,20677266,420591,3684403,6699841,9397997,11229266,36127547,12852704,21753897,11665868,29392089,18472996,3291741,7143649,17005625,11589252,17722712,10991954
Naproxen	neurotoxicity	5.32	9	15681801,27785820,22675649,20157512,24662962,22051244,34214917,17521299,19067834
Naproxen	hepatotoxicity	2.33	18	7113547,7443602,24721472,3115366,26099455,16472794,19539102,8952254,19337428,20843939,1582111,20829430,20553011,18177922,24085192,23956101,22931300,21586591
Naproxen	immunotoxicity	2.48	6	29475659,28262249,18958669,16533621,18958648,18958662
Naproxen	cardiotoxicity	1.28	10	15582059,31342476,16967608,17612051,17307628,20606837,16785833,24713339,17906437,27049794
Naproxen	genotoxicity	0.29	11	18972594,9357569,16162316,25072723,26104855,24393029,30368144,18647485,17365137,20926620,15962942
Cyproterone_acetate	genotoxicity	3.16	25	25058030,31234253,15582357,7586127,8099540,10607737,7788841,9465929,10545424,17123861,2860980,8813132,8462531,15135643,11393581,1347714,18277466,9437555,7542174,8640927,8631143,17719740,9804880,25440904,10326863
Cyproterone_acetate	hepatotoxicity	4.04	14	20553011,20843939,8771956,23293208,8241005,10473987,17845544,15015823,17167851,12442256,11573856,16294367,24552865,23528173
Cadmium_chloride	cardiotoxicity	1.40	4	32436095,33626375,29993192,25169091
Cadmium_chloride	nephrotoxicity	4.87	111	8069271,9650641,26815315,33803748,18850353,35405588,8291068,18064495,16962696,25588984,12296426,21153630,24291162,7688538,27888128,35122928,30796460,3536692,17052885,1360715,19252388,19371613,9860892,19615871,26070417,36802990,7843096,28567583,34695510,24980261,3671331,15940473,27578022,33127495,8691505,35638525,21620867,30933759,19817661,2793777,3236331,21155710,16682108,10924798,31752142,26607349,2711408,34246189,28660360,33722575,10647919,8860661,3341030,30500169,11334361,24200859,9806425,6324416,30744402,24060003,8786554,31531540,19093455,24318879,26260164,26235813,15588659,7946916,16927099,25265456,2619449,32818823,33905841,25098664,35384154,9839629,17383151,1609408,2360211,33813002,7839364,11425207,30516509,29421648,11522379,11566571,32428092,10536756,9875299,16597613,21467746,17499415,17464326,11441915,34021611,23750309,15303706,7940541,36707799,30177602,26259607,36493885,28342888,9928683,29298499,24923654,2876541,9214717,29444456,10506578,24632105
Cadmium_chloride	genotoxicity	4.58	115	25956639,2725542,26001163,29502735,15157573,8301701,1507270,28980932,19013231,16105241,16463956,23631930,22110744,29397502,23147700,26451654,16083854,15199547,23804459,34373904,19761867,25133553,21237510,21281964,20206291,28691780,22876806,19303893,16943607,12937953,31639282,17327700,23503628,9130604,34587203,21213067,26448269,12243335,8160291,15065207,17163507,11409840,1796505,29502740,9539965,26729151,11218258,25111876,19778258,24710572,21866830,25890049,24996944,22699117,8975443,1500038,11746246,27513750,26618487,31111748,20150354,21497582,30798185,11673070,9491390,12210545,15721204,11864456,2505418,11342235,9852638,25744307,7871536,19942289,23396744,9620542,31751644,16278061,19283472,19138720,22003191,12160620,26392349,10719034,9415893,11737881,11551487,27825931,10797477,33383339,8698042,12085641,28464991,16438802,12947706,8924612,34674108,8691507,10618176,29023056,22005018,20478394,9756686,26212300,11254942,15542109,21221549,12437157,8692219,23029919,26001754,24500942,9162694,3140002,9828261
Cadmium_chloride	hematotoxicity	3.04	1	10495773
Cadmium_chloride	ototoxicity	2.02	2	18629305,12296426
