chem_name,tox_class,score,n_refs,ref_list,ptx_code
Aldosterone,nephrotoxicity,0.34,45,"3287914,36723710,15998842,18569919,18197551,3519028,11868798,18424460,12589175,18411631,31159750,17111032,12904328,20947539,8301454,17429034,25160518,14530108,16524053,14693832,16723030,1531379,8961168,18261605,2652377,1812317,8239586,1464511,25500744,21368867,11967807,35932399,16722838,20450554,33783452,19543484,21653632,8138396,17121069,18402670,24586517,25627076,12472767,16835406,3547880",PTX130
Amitriptyline hydrochloride,cardiotoxicity,4.26,105,"10688618,6452802,3361443,10991922,25724422,636774,18845675,2342604,517079,2241410,24052561,4421467,3740572,29943290,25867296,31273393,25951877,5558774,18790837,1186320,3193487,4536600,6969529,7318761,14758040,1757397,3368804,18347505,29239964,4116633,5354541,321205,2929129,1586424,3256820,18608257,32447341,16040888,4115738,4668629,1703589,1460591,15614810,7793722,2530780,29762225,24055824,32219715,505986,6162597,28785811,7893190,15641640,1651817,11869831,4116169,4028383,23530458,20923818,5744325,33438398,4117629,30856002,7131618,870126,16430415,36527252,29517570,623701,22653689,3963932,2738485,3831377,29873021,3454160,8930008,6259320,17359955,360245,359311,10406926,2939838,3418777,2978366,4919411,4115844,5426834,22619399,6620442,4444361,3017159,4423835,4074108,26621115,7097563,25939777,31187186,6154560,17367544,16406254,12234126,17019174,19706166,20507243,11843209",PTX161
Amoxicillin,hepatotoxicity,1.56,29,"9072200,9741209,21712012,7577112,21783281,1568657,7640943,9090930,9296855,10721209,18215001,8816722,1661553,8153703,10902278,18666253,21586591,24085192,22931300,23956101,20553011,16187174,17516833,20843939,34767876,12602373,18350147,19502657,12879990",PTX188
Amphotericin B,nephrotoxicity,6.07,145,"25590436,30522521,19546359,11801578,25233346,31511938,28607011,9208117,22987267,9232254,23843366,16282964,24787480,18094720,15918775,29762761,20206784,29016288,9051244,17722233,20147716,36066555,29686150,33846129,16707251,16707248,15059069,8843285,11303959,1778896,28004589,17370566,1291871,20166083,14730342,22633524,11801583,19281327,23774005,15809928,23931455,10859429,9532520,18430132,34125591,9342068,11234672,15651178,32343003,33994103,10707695,9792308,33239137,21888451,19947901,22747637,16704922,9835506,29203252,10462340,29897025,28656554,16156969,10932392,15250019,15119986,8706812,10908480,12690969,22488537,10980058,10555932,1778894,8077688,34100400,29352486,34535406,19275278,10922301,11229866,28399053,11801587,22687510,9111161,19398459,21301335,22800082,34315381,18162375,23529741,24385260,30104271,10585814,12667228,25188673,19754765,26595825,12462292,9332329,20536366,8838189,8960189,11573851,28533242,21885259,28531175,27328721,23711815,22491505,21036832,18494752,27878878,32404321,18224662,27697762,9337444,9770163,26908230,29102349,31242231,34657372,10320843,22863853,17443465,29773439,25550388,27373381,19849324,35923125,24829170,26303800,15355408,32290745,28577122,12186120,15802888,11282260,20616663,8031034,21150235,1434381,10225990,16573618,16723574,18039077",
Ampicillin,nephrotoxicity,0.97,38,"28412957,11766781,29969596,8619902,2627266,23676604,668378,28166656,12917251,3849259,29337066,35038556,4325688,6927634,12571406,1187001,449873,17304422,34751788,523366,3310282,3888810,21085665,9255195,5289757,33998665,17438316,12810976,6803353,6146123,18501431,23328923,7413308,869655,6760676,3316564,32357212,9727317",PTX194
Anastrozole,cardiotoxicity,2.56,11,"16950593,20176546,22295205,30443921,15770536,22649339,34006718,24460260,11694788,24818621,18231644",PTX126
Aristolochic acid,nephrotoxicity,7.27,176,"25761009,22069672,11805172,12698237,16458120,12495362,21542290,11423353,19505558,18812181,31739654,23614652,36828432,31009690,35391592,29288399,22472514,28040573,20508390,32235450,22484602,26204831,18499390,20039324,17521691,10841870,30940547,30827336,19269484,34247476,24743514,25638376,12453725,33686245,31602497,33410325,28476556,31416626,25107330,21177145,18702012,19854934,22445861,21356355,26846302,19890363,26632529,31004078,25847264,23981375,26612554,26706944,25555167,34125507,14586714,17512963,29803429,35397442,33448693,16602708,37063876,18368031,20935286,35025763,25663515,21613233,10352210,15503779,33796971,35765703,26879332,16611860,21538418,26471474,18987598,16609888,28115647,26457602,34830314,33212167,35409033,21980933,15074585,25871586,27016491,23031193,16457928,17729220,27019954,17392392,36548535,23912714,34627093,34673015,26243830,32498221,35471859,21141875,15504145,26458883,25599730,10465175,33617966,32796873,25590276,13680054,32050524,14605273,23926199,37062136,21224419,26397152,23703822,33957350,22402317,33955513,34802168,18407872,35342337,18288688,16168604,11989648,35231474,20164109,17274990,12110620,22820421,29202460,26631295,12585193,17366749,8368940,23019274,31476867,34463271,27352112,35850825,18589784,21429970,25244753,22796065,30548302,27080942,35531633,21487531,19249256,22554276,17595955,21217878,21526364,19399523,35690179,19752617,17631302,20181195,22069658,21132655,16011288,33722575,21834575,17283906,32159797,15840026,22069674,21213532,22069627,16161434,26260164,22069625,22069609,21738526,15685520,20586941,22069596,22069626,18945373",
Arsenic oxide (As2O3),cardiotoxicity,5.41,80,"34037972,29339628,34697146,33992675,26815588,16597375,29095437,11547772,34333357,25107562,23471352,34134554,33879037,28209094,32025748,25746422,27256307,32096187,36918482,35676786,12189281,36707890,32336675,15328825,28094846,27608960,12791306,35366752,24901647,18346055,36335523,36148949,29035754,28521025,33173984,25395240,33173965,21282932,24801902,11103058,11547771,14636467,30339249,23474023,35171536,22715121,23436664,23542815,23201927,29372663,25144547,32920515,18332854,19203718,23103450,24548979,35195477,28525371,29297235,26886836,28391263,28474970,16168477,24441683,17020459,33603344,17229334,33858561,33505582,28494415,31571030,31344536,22889704,23664956,25499624,30617460,11368433,28092839,23161055,30717322",PTX005
Aspartame,genotoxicity,3.33,20,"9137807,9760456,36493943,22036025,34200310,22036024,15478947,26321723,32222132,9158693,20689731,10685017,29408486,8597155,18850355,30645201,11409539,29339245,20837131,8246307",PTX103
Atorvastatin calcium trihydrate,hepatotoxicity,3.47,71,"19104420,30580373,25041076,27624558,33309831,17334531,17239888,19826975,32860619,31423616,24909372,24671957,25926069,10884296,31420530,16777499,17384364,25379806,33600922,17261402,18837641,34266452,21889469,33126910,16386629,25425547,27860156,16797241,17133470,19010194,35593456,27296832,24987187,30595326,26666731,15163549,23761184,20661736,26781514,24913991,26983033,26012156,28968507,23448291,32458430,29372484,30073852,36408752,19198578,36423574,14740794,11834348,32407846,11922400,12875104,17408535,22931300,22418885,21291704,12904155,22567196,22408755,22595892,15051751,22588606,18665658,16913392,19683239,34251816,23956101,17877816",PTX034
Atrazine,genotoxicity,3.44,55,"20607394,11080666,21768606,11071396,20549606,15254673,18582598,26081367,36870175,8167442,2688762,21787700,10350602,30195392,10350597,8466288,22795586,15903195,9037261,16527446,24875917,29040958,36549823,21443921,28531839,24328755,31659708,22153302,3193977,11516710,36396070,26681004,1616310,27415772,24508945,24929351,11312039,9707097,22739540,14991755,15195800,8379213,15162058,9725995,25882832,30721846,24433785,15099826,16416428,11254942,28936609,1374535,32783869,15655806,1382231",PTX060
Azoxystrobin,neurotoxicity,3.61,6,"35700754,34830376,33512557,35427181,35200037,31636368",PTX090
Benzyl 4-hydroxybenzoate,genotoxicity,3.04,1,19101832,
Bicuculline,neurotoxicity,2.36,52,"16630593,21056592,15518643,36802490,2308142,7609869,6807671,17637606,2296016,16595155,19440498,11383620,16478529,9344228,3950916,12486488,9128164,16236140,29309796,19067329,27179409,27720918,2507307,22606332,19344668,18218077,23280249,21270946,20953240,19072766,26053879,18346762,19443935,17316905,15115601,21611853,12467895,11903457,20416982,12358781,3004930,17350613,12752460,16049923,17983731,10800953,18812886,6681871,17433624,7555967,19911010,11991087",
Bis(4-hydroxyphenyl)methane,genotoxicity,5.04,7,"31207516,26916392,32244372,21656223,21770713,18973785,31875995",PTX143
Bisphenol A,genotoxicity,3.17,110,"35753027,28178864,12435848,16462019,31792261,30824780,31713131,29604592,20358847,32075523,12052008,26475400,36669816,23954285,17913570,29524822,36054626,22417675,30678825,19475328,15936980,26982218,23681588,29235998,22717255,33736268,32244372,20837082,36571243,21073950,36239825,18685211,33475425,23603005,23402883,29518729,31207516,26802677,33736423,19660573,26916392,23198967,32041077,30045557,28403740,31299621,25344109,23819927,19865523,26318564,34488101,9462721,36903292,25524584,27585778,28959593,23791112,27513750,30531698,35077873,34225110,31470472,31880940,29863053,35489531,35126815,18406253,34126515,22263531,24442371,17268063,21656223,33690008,23022116,33776939,33187850,30213494,22435301,31173877,35219798,23675539,11323170,33254711,21113705,34146699,26780702,29275183,18083626,28363854,20965277,27415772,34933259,37049848,25933419,19393337,31875995,29501196,25010344,25270620,30312649,22245107,28340733,36580735,24211107,18188738,32334263,28181297,27836348,33025430,27207879",PTX040
Bromobenzene,hepatotoxicity,7.49,94,"2906588,2068730,8086225,22229131,20843939,4017988,17420222,2901148,3999032,12051554,19371770,6710524,3754771,19538742,9439720,10996478,8057814,10661812,17112229,3420617,22032092,9674969,12700423,3943511,8403079,9456081,20553011,25022032,32479839,12018992,15976192,6435285,16081232,33390544,3012827,15056800,22262931,9544615,17538237,1348223,16860917,16979156,11820863,17450226,9699788,6704144,15345370,9462653,9007050,8773404,2564219,6147001,1570637,1996469,8046988,20188853,3996337,6502740,3988000,3675624,14999684,4002232,10356711,3795300,22827705,15671686,1397801,6651874,16036859,10092053,8498095,3621045,33158035,11057697,1912319,3970139,6148209,16207833,1747070,3358267,21752568,9789948,31407161,11123975,6542890,10433384,20621112,21395487,22407932,12525079,2901149,12628495,3961815,3961816",
Cadmium chloride,genotoxicity,4.58,115,"25956639,2725542,26001163,29502735,15157573,8301701,1507270,28980932,19013231,16105241,16463956,23631930,22110744,29397502,23147700,26451654,16083854,15199547,23804459,34373904,19761867,25133553,21237510,21281964,20206291,28691780,22876806,19303893,16943607,12937953,31639282,17327700,23503628,9130604,34587203,21213067,26448269,12243335,8160291,15065207,17163507,11409840,1796505,29502740,9539965,26729151,11218258,25111876,19778258,24710572,21866830,25890049,24996944,22699117,8975443,1500038,11746246,27513750,26618487,31111748,20150354,21497582,30798185,11673070,9491390,12210545,15721204,11864456,2505418,11342235,9852638,25744307,7871536,19942289,23396744,9620542,31751644,16278061,19283472,19138720,22003191,12160620,26392349,10719034,9415893,11737881,11551487,27825931,10797477,33383339,8698042,12085641,28464991,16438802,12947706,8924612,34674108,8691507,10618176,29023056,22005018,20478394,9756686,26212300,11254942,15542109,21221549,12437157,8692219,23029919,26001754,24500942,9162694,3140002,9828261",PTX001
Caffeine,genotoxicity,1.47,125,"27707005,26436477,20936171,11050087,34981388,36250215,33045363,3679025,11103843,11912127,1723504,3702902,28524728,6493988,26231820,7045646,19903334,25733355,12557259,22301547,16093433,24148320,17005912,10496374,10328954,19733686,21784009,8950990,12604171,35868513,12732453,22382681,29438913,12385720,12847089,35093559,20126263,12678913,11313928,34974129,10531013,18691092,19584706,9820657,19797863,22925776,12067577,20716117,8090951,18082736,15782136,21577056,10635351,31025056,3106176,26595742,18616953,17018606,9237777,21593482,33226362,15119530,31597699,12527885,33920365,23220610,11677656,11390642,10229703,15155855,17726372,26338538,19961617,23555814,8625958,35649678,9635885,16687921,22487727,7075579,15699613,11376689,24956935,18617998,29352261,11312039,11255210,19758748,21324902,21103343,2185474,21768606,22561209,21185390,16491272,22564307,7513067,22766865,3512993,8837615,19137158,12154088,27471731,16061642,16705183,21782683,7688096,10485486,10809772,26851402,22296825,8700184,36156632,18325085,15962942,14643431,12388347,11215705,8584450,17920329,7511793,22558186,2918861,20353596,22226932",PTX022
Camptothecin,genotoxicity,3.2,194,"26252178,26032771,27943067,16273241,19577607,9639703,20824091,15150090,22350898,22580959,27694308,8684406,25063076,29865166,22655027,31176019,12629512,15866463,16093433,10468612,16997331,11387020,18639523,17374387,31278615,16428325,11389927,18951961,22333915,10493969,19190131,22294094,12540369,8671755,19407812,27803455,29805983,17038621,20053762,20013318,22025679,18086921,21266351,20972445,15929725,12610517,28735042,21145583,15608676,22355404,29298824,18473721,28987538,21389083,24792648,18342608,22615860,21475306,20206136,17516995,12839962,27185882,16480977,25893297,18074021,22578086,33374934,21731742,28545970,22415824,21637658,22246181,21456053,30676768,16498404,11516715,21440578,27030982,21637552,28981092,11380620,11861367,21325706,17709397,22158865,24219989,11840341,24741789,28361849,23007316,17713603,26008972,17140446,32482060,15208667,14704340,21490603,17074802,18307537,19819285,30720231,17272723,18387846,19302214,22871320,18159231,19663821,15735665,24211769,25119147,17928296,21658395,24183724,12051721,16015338,9400702,28937686,18504617,22972498,31296950,2175833,20429933,21459094,28089177,15261156,15781217,22414655,19223549,20637188,20936170,23126525,26501353,20095849,22102830,18339864,18820127,26625007,26294215,27339653,30590055,20113479,22544741,16928813,19959400,15743838,14568290,20107320,23918525,22895166,10344722,19758748,22675468,23682763,21103343,22003191,20699642,16137618,31409894,20111719,1646393,18387845,17825044,17962814,20338862,30209297,18693109,11880543,16529987,29244158,20840797,22164208,35778544,22990674,20501547,28657311,17634129,31284735,18550533,25977998,23071680,10811101,17548347,20967229,15366785,21918620,20932476,15684817,21904648,20213810,25843524,29420790,18245483,12082016,19853651",PTX091
Carbamazepine,neurotoxicity,3.2,187,"12654346,3391152,15571507,6439058,9515979,16153667,28277442,16701969,1674948,33032224,6401711,33257291,12192617,34175264,25538340,2314149,27415772,8504438,10530675,33206316,147337,2201541,3085769,11750573,14506441,16450324,12150584,2945004,12897634,34214917,17418472,20512461,25111975,12177120,15080858,28745680,2236454,36608821,3145137,33260372,11346062,25656284,26436477,2870222,21737571,7715759,7555967,21626890,11919233,19183873,1296726,32537086,9153479,8719616,22582484,12027908,31278712,12453338,8836446,6491988,30086086,8573214,3371379,8597777,30342189,30669069,28814092,1420650,11879339,7907921,3569036,10379423,31539780,25782176,1217568,17636003,35304379,16983507,23965799,15510180,3934251,3280563,2839806,29678547,12432977,10434712,26936324,1352629,24803404,10094427,23955391,7697883,32600424,2342638,27413119,29156432,15270754,3338983,11797144,32737897,8681892,22286977,17538173,12196060,26519928,14523789,20116141,20050845,19719046,18640843,15276306,16168057,20947222,9438023,18360567,18222569,21720898,18752871,23265873,31084949,19853976,10728915,19952054,29525434,17418452,31708184,15716057,15813358,18672318,2308142,17624632,12422305,22203844,16139502,16190747,21272614,8831764,25619635,1495012,17406176,31324950,22262939,22339381,17225454,12397847,11444724,15590869,20573424,11735605,12445957,17337249,15050044,16647165,20927690,3950916,30503782,19103578,21253319,30568761,21494615,20416982,22236471,22727446,26560050,19272675,19815060,17348421,25062008,16491518,20046791,16231011,21188048,18950901,15871765,20648916,21840629,17950496,19674817,27597416,22050285,32798790,15266186,21431057,20508282,21928710,17826870,21303724",PTX086
Carbendazim,genotoxicity,4.46,31,"9804902,2689881,10567038,25743750,23062944,9568594,27349362,32829211,22561174,27942789,22982763,26370277,31940143,18626565,35929398,34844488,29564638,3280996,16930478,20872852,17456508,21868589,25868127,25733076,29086361,30204902,21430913,21356328,33217513,18854579,12676452",PTX042
Chlorantraniliprole,immunotoxicity,5.09,2,"30296754,25424538",PTX219
Chloroquine bis(phosphate),cardiotoxicity,3.94,83,"12361838,32629115,16804295,4145093,29133031,32579957,4173864,7886019,6506080,16942005,6720097,32920000,33378177,21125143,32393448,33091434,33316045,8490589,36167917,33208614,11962539,33722251,2808897,23635029,31234469,32372695,33483756,32707160,23409733,35430712,28257497,33154498,17150283,37085872,32415690,35969110,29652656,19784824,33345848,32565195,35598114,14086236,22286742,32463308,32958120,29460476,3627179,32285489,31734202,35469826,34697918,32687949,9632091,29858838,32278692,25235,9655857,32356580,30635818,19560616,3826099,32960100,18692276,10381062,2957973,32316270,5576242,21731168,16527175,11245140,22827853,22166485,30429978,32861759,33103428,30562027,11370828,18418975,23112126,16400219,11485048,31603888,23898483",PTX173
Chlorpromazine hydrochloride,hepatotoxicity,2.47,67,"20371967,23238562,3518564,24933330,4413666,6284950,1175890,5953369,25458484,3948981,25231249,227976,4387099,13274243,16782301,11461765,932876,484004,6151491,20478349,23368734,3281015,17013467,2279216,735735,28778767,19482014,35722787,8434130,27759057,6838656,28717109,3407627,23913027,6626244,3390208,2033366,14316761,3557316,8014443,15170372,5663272,174709,6982502,27344345,25849576,26881866,23956101,23397584,20553011,29533874,32815004,20843939,22931300,20829430,3947399,22331495,24085192,19362101,12739759,14986274,25064622,18246545,28188341,22258563,3442185,27765674",PTX085
Chlorpyrifos,neurotoxicity,5.62,318,"19337505,15963356,22224058,16675431,20456333,18761328,28369648,25239634,32092566,22240005,20479945,22835727,20600679,7513360,7545834,23352508,21255595,23686008,10794393,16102884,21745564,10788567,7689993,26070385,17452286,36252918,19609937,18158111,18773955,24967689,33066842,7531776,72768,26524701,22947518,32651842,26748072,27296654,14741763,28791702,33059141,10101102,23418109,10876030,12417480,10753086,7684990,30897478,30385350,31181518,20331868,28099088,19079407,25466362,28385489,30442131,16102564,20211722,17196233,32569998,18436430,30497708,25510202,1283795,24096155,22222554,20096330,20692364,10700556,25634256,18595656,18945337,25864908,20599831,22155227,25803479,12676612,25704171,17805420,33086912,35863251,20026089,32115908,21346248,25261807,30871546,29109040,14757517,29421768,19730756,21385392,22155319,9443830,20056586,12505446,30909143,22126615,21237238,24292926,18096363,20019907,23761300,11006355,10429680,24394474,33297076,29939342,35767555,27988393,17194517,9620094,19440498,7694187,22036888,10876031,11274874,29136795,31108286,20382209,12460655,22985519,21848865,35151785,27521977,17016712,17366821,23416428,11350214,30747009,18335101,16440518,22796634,20185383,32361846,28112198,12464398,33011216,21998611,18187192,8954750,36704964,21453761,35427626,24573775,19631231,26314619,34250774,35522419,34843728,20142434,14691213,16704049,26775027,18817854,26552522,31698196,10837889,30990955,8801577,17084875,20004241,22085162,22287024,7566687,18502319,25707953,14644659,11199252,34557296,15963341,35378221,29475860,30187357,34289071,11393797,17321052,21356183,22732190,18835401,31756950,29156651,28373059,20350560,10429681,36173421,31104238,24373905,20884390,34562505,32602772,17185266,15772369,25856237,17720543,22425525,24975276,12791540,20562809,33706179,29948719,19165396,24524247,15929901,25567057,16079074,11485862,25070982,6192368,34682526,23602412,26215101,10548430,32215171,30267645,31604193,29572745,34058248,35225412,26302912,15019964,29859868,36269219,33288284,11829414,24727577,28861684,17589599,11673119,34327919,33839396,31868356,32749514,12611658,22287959,27018022,36809709,28858752,31761588,35114315,31229817,14594624,15541749,20097188,30006344,26254766,31965510,18166376,24798379,31152760,21922192,18941570,34626844,15683177,26409647,33221011,21783512,34469172,19061257,15081274,17589601,31251962,19337507,9705902,20691718,21672545,31931040,35137321,9693782,36347328,30944002,36231509,17366826,34802527,18355640,7531775,18977280,28300621,31136966,9457737,26018426,11164809,21948870,18560525,34915193,21907279,24447827,30612050,15183016,20682304,11749124,32896378,36722685,24732443,15805077,15901919,22327016,19268529,32006337,14754571,29605586,34455033,16760416,11960678,12140181,33166511,11307850,8641666,9221834,35623197,15236950,22735254,27523287,21899407,16790487,25447325,10596300,25176568,23624379",PTX026
Chlorpyrifos oxon,neurotoxicity,6.82,36,"31698196,27988393,22155227,7566687,20382209,25447325,21346248,7513360,10876031,35151785,18761328,36269219,22634143,9268605,22425525,17366821,10794393,32749514,30006344,11350214,19631231,20142434,35137321,21237238,28858752,22287024,25070982,15541749,14691213,32651842,7684990,16102564,34469172,24395470,23223497,17194517",PTX027
Cidofovir dihydrate,nephrotoxicity,6.0,131,"14739146,30397065,29797613,17372702,15914676,7706804,18537898,10877523,23377227,16732176,29679772,14557287,9298471,10703662,17461998,7785989,9742650,15751777,10092959,31797495,8841740,25733509,16499584,8818570,18197029,7840575,23339402,11529489,9609613,11154213,8077713,12520627,27849440,31895450,19801951,9825085,33650496,10100416,31826930,21184389,17904231,23222380,12815205,33220125,12100196,24957837,24756616,9117780,9036798,31571390,18307672,26821801,12394854,15361907,34941004,9925517,19392729,16006276,9465679,9058614,36484496,10473024,15163655,16157264,36162643,9951427,12936997,9036797,24966111,17313468,35842318,19001108,22146565,8739595,18652557,23025519,19067913,26718666,17438584,34324678,15996251,11563082,10462545,30403300,26330121,28419263,18852271,35248614,19463071,25750563,16935444,10049267,17845926,10709441,9416391,9058615,28608847,12665844,18481868,11292409,11584992,22568135,10929807,16734630,20720240,18373879,24714768,11817037,16038754,11994033,29738843,19877724,19725597,19425198,12460055,22069672,21716719,15859923,21369346,12093990,18584214,16626039,21860787,15264457,23856525,15861345,17117909,12811231,21808434,22069643,21994617",
Ciprofloxacin,genotoxicity,1.02,61,"24211107,35077737,33031630,12840108,31655981,9019897,30016301,29235998,26748250,8921512,25022851,1851537,22161117,12240556,10048748,35131333,20334059,15691228,9505350,20049419,29695695,28648729,32656556,11673084,25492931,2667107,29654371,9654244,32205461,27548984,35588875,27410723,8224788,24317225,1957311,2921999,36639588,7701619,7811007,34871411,25105482,24316197,30948195,7678175,29752090,20706607,32147358,28634040,31376569,15962942,28174104,22142834,28789907,22084712,29596745,16384725,17303420,22047769,25891104,20817623,16313947",PTX191
Cisplatin,nephrotoxicity,5.09,12,"6685578,8396390,10895991,1509170,19383537,3199415,1934247,2169720,3175335,11568363,8593591,9039483",
Citalopram,cardiotoxicity,2.87,38,"22996077,22007855,6427813,34280395,12902002,24556340,26448056,12234126,8732439,24914549,29722042,17719135,22561480,22421011,22812082,15767228,25091319,24201980,1711447,10213794,22085614,29181593,6128769,25097274,23871479,18520609,9655857,18570170,6935914,27037523,6953747,18484915,21767684,22936860,17367544,21873959,19706166,18785947",PTX094
Clarithromycin,hepatotoxicity,4.6,26,"20361094,7795060,16525107,22804484,12043957,12066973,21586591,11221566,8504017,21679791,32454074,12602373,23956101,8889721,19661243,19362101,9935275,17605513,31644280,16720710,20553011,15805066,20843939,22931300,19775168,19909895",PTX155
Clofibric acid,genotoxicity,2.83,17,"7681524,7909493,21954348,22539621,9439741,17880178,2191770,16696571,15833021,19680455,20926620,2457433,19177498,8526745,2040027,9347925,12771043",PTX041
Clomipramine,cardiotoxicity,2.83,14,"2241410,21263316,23307606,17367544,1460591,17766009,2717124,15302097,24127716,11843209,2682710,1925726,11488259,7318761",PTX145
Clopyralid,neurotoxicity,3.48,1,21318024,PTX208
Clothianidin,neurotoxicity,3.69,7,"26990785,26513508,30419375,36858607,36858584,27694022,33641563",
Colchicine,neurotoxicity,1.51,58,"6478274,15244167,12128012,15005753,24591648,11689470,16478524,2525778,34748853,7170018,6174906,19815060,22248034,1828783,10852241,7990508,29962396,24662962,7823331,15914514,32931884,12127083,14976124,6661030,36541944,3035372,6249441,2771058,15711925,20661070,32949729,2284057,16793884,6132379,9413254,3964122,2720425,7869427,18255150,4024120,2542478,19492485,33617922,7940890,17716651,6747639,11196193,18608282,6884477,17652827,6930683,9491303,6738304,23198691,6710527,7820609,35134991,12941380",PTX102
Coumarin,hepatotoxicity,3.71,56,"9754990,17880380,18721845,21822469,20853872,17073630,8937898,26806632,8206431,11053537,8886607,12472978,11360729,7715532,19354003,6595978,20207117,8762866,1729761,22642738,9250536,21395539,1555792,19527782,11983276,9294482,29957847,1768368,8937891,31845612,16000056,9103523,21839104,27317371,12499123,12685811,8097443,34334558,26946349,8282280,15246210,25827406,14610229,18480146,28803882,35408514,9705886,22741802,20024932,19628585,7794322,17286538,33132243,22539098,15141102,22931300",
Cyclophosphamide monohydrate,cardiotoxicity,4.1,590,"11181656,28130575,11378344,12796019,16891866,1889343,32940847,19768460,7349208,1649704,32540553,29882279,3530445,8535227,7803534,31230218,7935171,2044726,18462404,18607846,12515939,8478658,2323615,9476049,8085846,18548196,856438,26449182,16258083,6385260,12769340,15517007,25455004,7578376,30943501,8400329,17369601,9426329,32869692,1913227,7570271,7028245,11970749,7871966,20299794,10884501,2953934,23054649,34665971,6548066,9168442,3894276,8950332,19819776,33275987,11872048,26807857,33990415,34672241,14716771,31541628,3533179,25023062,9070503,10840930,8272153,28324265,32454939,7693420,35039259,34623620,6349786,12227700,35732790,7625366,21850390,24067476,2671436,32174608,15592494,1403033,3332169,29981795,15984521,2653660,30406945,1403071,12025891,10923100,8221579,19590893,22701146,24895339,2234455,29723224,22068815,7357493,9207869,35088106,9742636,20734400,8807123,1723374,8996589,1849442,30826225,6539459,1588381,24074879,1197900,19932589,17457949,3224403,30452398,2671279,1727913,8241979,1920253,35289086,34699004,24495297,9047803,20414025,9740078,19046106,1997473,23998543,27484957,2331537,18999883,36200320,15709217,9180391,15936473,34549658,21078249,11694788,21821545,797446,17516874,29504102,11157009,17514772,31126528,1543949,3902267,8479091,35134779,1873773,7655778,19169606,21160270,9390210,18506704,6754062,17051423,11251000,27709497,21456382,10920949,34392821,17159809,19031015,19534435,25158670,10815287,26392097,10076722,6318789,16736890,21150336,6321689,16236144,26400150,9193323,29253081,3164312,16942640,3838618,34655493,1705095,27442649,10828864,26321502,25235,12182001,16247436,12491503,15456955,21788566,3922612,30684081,10203265,27187274,15837983,28562379,24126391,2426944,2477963,30554488,1104469,9436636,9182022,10512173,16148021,35437098,23768465,17571399,6866817,15607758,33299300,19168513,3513941,8290971,11672513,15328825,15945507,9126304,30281690,6595969,12067953,17094405,17009100,11248153,3469805,30862114,1417012,2300381,15233142,10334560,17418239,30552952,36331055,26990931,7941437,29038417,16625422,2249339,7749156,25445468,20480225,25868843,19448608,28236505,34597426,3315698,16495757,10905768,3130805,16132683,17562616,3049953,25981896,26823489,33383042,3322590,2173392,28869615,2025981,12087452,10816028,19372630,31529525,11870533,2327660,20872958,1563852,29174203,7545224,3528966,3660150,9167740,1326734,8340944,17223814,7248982,6385262,30634681,12942200,11561769,2045862,15667832,7579436,35579950,28552383,16361558,10779986,2838293,35810145,3143311,23543849,35014174,2847991,1711934,23199515,32542788,3513562,29072977,10679801,6404547,21606423,16755989,21273601,9369412,9364541,11535996,1875232,9020947,8978792,30372698,26114497,10091793,16231966,19103732,10967571,21827339,34592759,10918422,24273046,9077103,11707832,23307606,128408,6548892,24469765,16722153,20682807,33116212,12222661,20308670,12506169,7987976,28190761,20133257,6506081,9093724,21438830,15161947,2398300,31851385,7716678,36250317,2538577,10477008,11908712,9849484,6387802,33504826,20177030,12597151,16317508,8205083,7670409,10374313,3020699,26262887,17185931,24464946,3137469,2897433,22909389,9336363,1567171,1586618,16085348,34711013,31792258,15701858,16575475,9328157,7655380,8535936,667863,8112650,24844787,7680306,6546298,11205227,18415035,12270055,16314622,25935793,12799623,19913261,3534581,92740,35979049,31132772,7687667,24382557,1997944,26518668,19945181,32537703,2291460,92432,11724646,16098067,36206134,18758815,33492774,20957680,7414712,9517508,25823784,12435291,4051516,24929649,2039705,23692343,8401360,11699405,20104463,1899489,9951580,2553235,2403368,15023436,19757315,30740919,23946328,11552226,6832631,12056098,24459219,3512971,13679590,11054436,26133371,11970750,29151290,12562656,22160835,7686808,31312929,19656681,8640822,36120853,25899891,19065438,23999848,10732745,10808211,1285674,9415359,17892140,16814280,26913398,31640406,1661205,9735010,29199719,9298599,33998163,2579213,30130706,9087871,30668345,23394482,2910506,12825572,16259776,28807058,11801756,27649503,16101196,2291455,8422597,15093573,15325671,17071492,16247790,10403474,28341761,15608392,19858391,27654474,19856650,25176223,33864237,28458425,27502729,17483845,32112477,7602342,8844612,3550612,6959564,2705401,25980453,7235784,19275512,12170449,31175052,11109196,18664656,7715910,34951067,15254055,28333655,24506965,8082231,19013659,8597907,23558518,30819377,33705623,26497907,11827572,19833600,3909418,9816034,31928923,3317170,24384030,19782276,16702817,6990214,18396651,12855614,29861523,11523171,18464112,22393965,8652238,15750266,9616283,9314293,12525522,17591836,16636524,27498129,6981452,17683387,21277101,3539307,23814044,17312442,6997053,25723884,33635746,18331601,18329,6208468,27079957,15685838,1304238,24192805,19251394,10334527,19169607,35385034,16382976,18457036,6851871,3840300,6354509,15367414,21438831,9193344,3907825,2910423,29582557,24144431,11474271,35762198,21218604,436854,14648210,22897825,30396014,8600333,29468886,7811398,6761595,16001993,33216199,19107109,28334703,9213324,6230422,30305499,5779984,33140109,11230490,16004198,15838014,2903085,31503352,29106497",PTX096
